# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: abatefloridainc.com
# Property: ABATE website
# ----------------------------------------
# 
# All Users
# Start date: 20241203
# End date: 20260112
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,8231,3960,2.0785353535353535,35.10479797979798,26621,0,0
/membership/,2702,1444,1.871191135734072,102.19667590027701,7162,0,0
/calendar/,2161,1030,2.0980582524271845,70.12135922330097,5572,0,0
/shop/,1184,294,4.0272108843537415,55.32993197278912,1867,0,0
/forms/,1085,330,3.287878787878788,98.22121212121212,2858,0,0
/contact-us/,1021,633,1.612954186413902,74.74565560821485,2616,0,0
/chapters/,756,270,2.8,36.62222222222222,1486,0,0
/masterlink/,756,354,2.135593220338983,56.53107344632768,1728,0,0
/safety/,598,336,1.7797619047619047,42.836309523809526,1881,0,0
/multimedia-gallery/,369,245,1.506122448979592,27.76734693877551,1255,0,0
/event/leesburg-bikefest-celebrating-23-years-of-camping/,295,217,1.359447004608295,61.294930875576036,888,0,0
/motorcycle-safety-resources/,205,108,1.8981481481481481,59.97222222222222,588,0,0
/ringing-of-the-bell/,204,164,1.2439024390243902,54.40853658536585,506,0,0
/sponsors/,190,109,1.7431192660550459,49.944954128440365,488,0,0
/sponsorship-level-details/,178,122,1.459016393442623,43.467213114754095,449,0,0
/checkout/,156,84,1.8571428571428572,82.30952380952381,385,0,0
/event/28th-annual-freedom-ride-to-the-florida-state-capitol/,145,86,1.686046511627907,58.25581395348837,318,0,0
/events/,109,90,1.211111111111111,25.38888888888889,358,0,0
/event/lagoon-chapter-state-meeting/,107,62,1.7258064516129032,56.403225806451616,239,0,0
/product-category/patches/,95,21,4.523809523809524,51.57142857142857,184,0,0
/event/15th-annual-skills-on-wheels-motorcycle-rodeo/,73,35,2.085714285714286,47.25714285714286,190,0,0
/gallery/,71,5,14.2,173.6,192,0,0
/cart/,62,46,1.3478260869565217,13.76086956521739,183,0,0
/event/33rd-annual-biketoberfest/,62,33,1.878787878787879,65.96969696969697,149,0,0
/privacy-policy/,58,58,1,3.1206896551724137,178,0,0
/event/45th-semi-annual-motorcycle-event/,56,47,1.1914893617021276,39.91489361702128,161,0,0
/product/state-back-patch/,56,25,2.24,24.12,174,0,0
/event/state-meeting-hosted-by-boneyard-chapter/,54,36,1.5,37.25,126,0,0
/event/49th-annual-freedom-ride-tallahassee/,51,33,1.5454545454545454,80.81818181818181,115,0,0
/event/29th-annual-freedom-ride-to-the-florida-state-capitol/,46,31,1.4838709677419355,54.45161290322581,120,0,0
/chapter/lake/,44,27,1.6296296296296295,14.555555555555555,155,0,0
/membership,43,44,0.9772727272727273,2.1363636363636362,188,0,0
/event/estero-rivers-legendary-poker-run/,40,29,1.3793103448275863,38.86206896551724,104,0,0
/event/abate-state-meeting/,37,23,1.608695652173913,96.43478260869566,85,0,0
/wpautoterms/privacy-policy/,37,37,1,2.135135135135135,113,0,0
/event/state-meeting-2/,36,27,1.3333333333333333,49.81481481481482,78,0,0
/event/central-florida-state-meeting/,35,18,1.9444444444444444,61.166666666666664,72,0,0
/event/memorial-day-event-remember-honor/,34,19,1.7894736842105263,56.94736842105263,81,0,0
/events/2025-04-14/,32,23,1.391304347826087,25.08695652173913,103,0,0
/event/abate-of-florida-inc-leadership-seminars/,30,18,1.6666666666666667,67.88888888888889,60,0,0
/chapter/lagoon/,28,22,1.2727272727272727,14,114,0,0
/event/gulf-coast-chapters-30th-annual-toy-run/,26,19,1.368421052631579,66.94736842105263,66,0,0
/event/gator-alleys-40th-birthday/,25,21,1.1904761904761905,31.38095238095238,56,0,0
/chapter/boneyard/,23,15,1.5333333333333334,8.6,83,0,0
/event/bike-night-sponsored-by-boneyard-chapter/,21,16,1.3125,23.75,46,0,0
/terms-conditions/,21,20,1.05,12.75,57,0,0
/advertisers/,20,17,1.1764705882352942,22.176470588235293,51,0,0
/event/2nd-annual-pool-tournament/,19,12,1.5833333333333333,31.666666666666668,41,0,0
/event/can-you-see-me-now-ride/,19,9,2.111111111111111,37.111111111111114,41,0,0
/events/list/,19,15,1.2666666666666666,11.6,51,0,0
/events/list/page/2/,19,11,1.7272727272727273,15.818181818181818,54,0,0
/event/polk-county-chapter-41st-annual-toy-run/,18,11,1.6363636363636365,7.181818181818182,64,0,0
/chapter/daytona-beach/,17,11,1.5454545454545454,22.363636363636363,71,0,0
/chapter/estero-river/,17,9,1.8888888888888888,25.11111111111111,66,0,0
/event/st-pete-bike-fest/,17,15,1.1333333333333333,31,41,0,0
/event/gulf-coast-chapter-eggstraordinary-scavenger-hunt/,15,7,2.142857142857143,33.142857142857146,28,0,0
/event/i-spy-a-convergence-run/,15,14,1.0714285714285714,75.14285714285714,38,0,0
/event/leesburg-bikefest-celebrating-24-years-of-camping/,15,13,1.1538461538461537,86.76923076923077,35,0,0
/motorcycle-safety-program,15,16,0.9375,3.5,69,0,0
/event/palm-beach-chapter-motorcycle-safety-awareness-2/,13,11,1.1818181818181819,29.09090909090909,36,0,0
/chapter/gator-alley/,12,9,1.3333333333333333,15,44,0,0
/event/daytona-chapter-frostbite-poker-run/,12,9,1.3333333333333333,29.555555555555557,27,0,0
/event/glenn-curtiss-vintage-motorcycle-car-show/,12,8,1.5,9,28,0,0
/event/peace-river-christmas-toy-poker-run/,11,11,1,24.181818181818183,36,0,0
/product/advertisment/,11,11,1,20.09090909090909,28,0,0
/contacts/dennis-kalkbrenner/,10,7,1.4285714285714286,6.571428571428571,41,0,0
/chapter/polk-county/,9,6,1.5,14.333333333333334,30,0,0
/wpautoterms/terms-and-conditions/,9,9,1,1.2222222222222223,27,0,0
/event/palm-beach-chapter-motorcycle-safety-awareness/,8,8,1,10.25,21,0,0
/chapter/palm-beach/,7,5,1.4,41.6,29,0,0
/checkout/order-received/4685/,7,1,7,0,13,0,0
/contacts/william-griz-deaver/,7,5,1.4,21.2,28,0,0
/events-1,7,3,2.3333333333333335,10,25,0,0
/photo-gallery,7,7,1,0.5714285714285714,26,0,0
/product-category/clothing/,7,4,1.75,18,17,0,0
/shop,7,7,1,0.7142857142857143,22,0,0
/contacts/rachel-kaszowski/,6,3,2,7,22,0,0
/event/abate-of-florida-inc-drawing/,6,4,1.5,27,11,0,0
/events-/-photo-gallery,6,5,1.2,3.4,23,0,0
/events/2025-05-25/,6,6,1,0,18,0,0
/product-category/life-membership/,6,3,2,33.666666666666664,10,0,0
/chapter/freedom/,5,5,1,8.6,24,0,0
/chapters,5,5,1,0.8,17,0,0
/contacts/mike-dinkel/,5,4,1.25,12.5,25,0,0
/contacts/steve-kliemisch/,5,4,1.25,15.25,18,0,0
/event/daytona-beach-bike-week/,5,4,1.25,64.75,12,0,0
/event/non-abate-event-alr-holiday-toy-drive/,5,4,1.25,39,12,0,0
/mrf/,5,1,5,164,16,0,0
/product-category/flashlights/,5,4,1.25,8.25,11,0,0
/product/life-member-engraved-card/,5,3,1.6666666666666667,37.666666666666664,18,0,0
/terms-conditions,5,5,1,0.4,18,0,0
/chapter/southeast/,4,4,1,8,15,0,0
/contact-us,4,4,1,2.25,17,0,0
/contacts/don-stewart/,4,4,1,0.25,14,0,0
/contacts/fred-joseph/,4,4,1,7,17,0,0
/contacts/louise-pat-marzorati/,4,2,2,30.5,11,0,0
/event/dania-beach-vintage-motorcycle-show/,4,4,1,62.25,8,0,0
/event/south-east-chapters-46th-semi-annual-motorcycle-event/,4,4,1,33.5,15,0,0
/m/login,4,4,1,4.25,20,0,0
/product/life-member-s-s-shirt/,4,3,1.3333333333333333,10,11,0,0
/2022-forms,3,3,1,0,10,0,0
/chapter/gulf-coast/,3,2,1.5,6,14,0,0
/checkout,3,3,1,1.3333333333333333,13,0,0
/contacts/dan-henderson/,3,3,1,5.666666666666667,14,0,0
/contacts/lana-lang/,3,3,1,4,14,0,0
/contacts/lee-geesey/,3,3,1,5.666666666666667,13,0,0
/daytona,3,2,1.5,2,9,0,0
/events/2025-10-18/,3,3,1,17,12,0,0
/forms/this,3,1,3,8,9,0,0
/product/man-on-bike-green/,3,3,1,0,8,0,0
/product/membership-fee/,3,3,1,12.666666666666666,8,0,0
/Florida,2,2,1,5,9,0,0
/adsds,2,1,2,5,8,0,0
/calendar,2,2,1,0.5,7,0,0
/category/meetings/,2,2,1,14,8,0,0
/chapter/emerald-coast/,2,1,2,11,6,0,0
/chapter/forest/,2,2,1,48,7,0,0
/chapter/peace-river/,2,1,2,28,8,0,0
/chapter/state/,2,1,2,4,5,0,0
/checkout/order-received/4677/,2,1,2,3,4,0,0
/contacts/billy-nasrallah/,2,2,1,1.5,8,0,0
/contacts/brandy-stevenson/,2,2,1,1.5,8,0,0
/contacts/denise-russo/,2,2,1,3.5,10,0,0
/contacts/frenchie-lang,2,2,1,1.5,9,0,0
/contacts/john-hagopian/,2,2,1,6,8,0,0
/contacts/john-reinbold/,2,2,1,1.5,9,0,0
/contacts/lorrie-geesey/,2,2,1,14,9,0,0
/contacts/martha-harris,2,2,1,3.5,9,0,0
/contacts/robb-rabell/,2,2,1,3,8,0,0
/contacts/russell-pace/,2,2,1,0,7,0,0
/contacts/sherri-dale/,2,2,1,21,10,0,0
/contacts/tate-hehl/,2,2,1,4.5,8,0,0
/contacts/tim-roadmap-mcdermott/,2,1,2,5,9,0,0
/event/gator-alley/,2,2,1,20.5,5,0,0
/event/holiday-toy-poker-run/,2,2,1,5.5,10,0,0
/event/state-meeting/,2,2,1,16.5,8,0,0
/events/2025-01-19/,2,1,2,1,6,0,0
/events/2025-06-14/,2,2,1,9.5,6,0,0
/events/list/page/3/,2,2,1,3,4,0,0
/freedom,2,1,2,4,5,0,0
/freedomchapter,2,1,2,3,6,0,0
/hello-world,2,2,1,0,7,0,0
/legislative,2,2,1,4,8,0,0
/my-account/,2,1,2,5,6,0,0
/product-category/advertising/,2,2,1,2.5,5,0,0
/product-category/pins/,2,1,2,18,3,0,0
/product/life-member-long-sleeve/,2,2,1,0,4,0,0
/product/recruiter-pin/,2,1,2,8,7,0,0
/product/state-back-patch,2,2,1,0,8,0,0
/public-relations,2,2,1,2.5,10,0,0
/resources/,2,2,1,2,8,0,0
/sponsor-advertisement,2,2,1,2,7,0,0
/terms-and-conditions,2,2,1,2,9,0,0
/Â,2,2,1,2,8,0,0
/2023-forms,1,1,1,5,5,0,0
/2024-forms,1,1,1,4,5,0,0
/advertisers,1,1,1,2,5,0,0
/august-2022,1,1,1,4,5,0,0
/cart,1,1,1,4,4,0,0
/category/meetings,1,1,1,4,5,0,0
/category/state,1,1,1,1,5,0,0
/category/uncategorized,1,1,1,0,3,0,0
/chapter-dev,1,1,1,2,5,0,0
/chapter/boneyard,1,1,1,1,5,0,0
/chapter/emerald-coast,1,1,1,3,5,0,0
/chapter/estero-river,1,1,1,0,3,0,0
/chapter/freedom,1,1,1,4,5,0,0
/chapter/gator-alley,1,1,1,2,5,0,0
/chapter/gulf-coast,1,1,1,2,5,0,0
/chapter/hillsborough/,1,1,1,8,5,0,0
/chapter/lake,1,1,1,1,5,0,0
/chapter/palm-beach,1,1,1,0,3,0,0
/chapter/peace-river,1,1,1,0,3,0,0
/chapter/polk-county,1,1,1,2,5,0,0
/chapter/southeast,1,1,1,2,5,0,0
/chapter/state,1,1,1,3,5,0,0
/chapter/thunder-coast,1,1,1,4,5,0,0
/chapter/thunder-coast/,1,1,1,0,4,0,0
/checkout/order-received/4516/,1,1,1,0,2,0,0
/checkout/order-received/4645/,1,1,1,0,2,0,0
/checkout/order-received/4684/,1,1,1,0,1,0,0
/checkout/order-received/4716/,1,1,1,0,1,0,0
/checkout/order-received/4723/,1,1,1,0,2,0,0
/checkout/order-received/4724/,1,1,1,12,2,0,0
/checkout/order-received/4843/,1,1,1,0,4,0,0
/checkout/order-received/4902/,1,1,1,0,1,0,0
/checkout/order-received/4922/,1,1,1,0,2,0,0
/checkout/order-received/4923/,1,1,1,0,2,0,0
/checkout/order-received/4924/,1,1,1,0,2,0,0
/checkout/order-received/4999/,1,1,1,0,2,0,0
/checkout/order-received/5009/,1,1,1,0,1,0,0
/checkout/order-received/5022/,1,1,1,0,2,0,0
/checkout/order-received/5223/,1,1,1,26,3,0,0
