# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: fl-msp.com
# Property: fl-msp.com
# ----------------------------------------
# 
# All Users
# Start date: 20240716
# End date: 20260112
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,32177,22251,1.446092310457957,12.957260347849536,93573,0,0
/may-motorcycle-safety-awareness-month/,929,477,1.9475890985324948,39.060796645702304,2773,0,0
/resources/,809,284,2.8485915492957745,50.19718309859155,2015,0,0
/blog/,710,316,2.2468354430379747,28.414556962025316,1830,0,0
/contact-us/,657,444,1.4797297297297298,32.009009009009006,1703,0,0
/events/,656,373,1.7587131367292226,32.683646112600535,1638,0,0
/florida-freedom/,545,266,2.0488721804511276,29.845864661654137,1478,0,0
/motorcycle-safety-awareness-toolkit/,384,218,1.761467889908257,33.41284403669725,1022,0,0
/ridesmart-florida-offers-free-motorcycle-safety-courses-across-the-state/,315,255,1.2352941176470589,37.207843137254905,977,0,0
/33rd-annual-biketoberfest-returns-to-daytona-beach/,235,177,1.3276836158192091,50.367231638418076,549,0,0
/quicklinks/,162,112,1.4464285714285714,17.955357142857142,537,0,0
/st-pete-bikefest-returns-november-20-23-2025/,144,113,1.2743362831858407,29.442477876106196,398,0,0
/suit-up-for-safety-what-every-florida-rider-needs-to-wear/,134,71,1.8873239436619718,51.46478873239437,341,0,0
/florida-motorcycle-safety-awareness-month/,121,55,2.2,34.472727272727276,298,0,0
/the-season-of-motorcycle-safety-outreach/,117,77,1.5194805194805194,32.84415584415584,296,0,0
/event/biketoberfest-2025/,109,69,1.5797101449275361,36.130434782608695,284,0,0
/drive-sober-or-game-over/,84,24,3.5,95.25,206,0,0
/sample-page-2/,80,7,11.428571428571429,192,197,0,0
/summer-ready-riding-maintenance-musts-for-floridas-motorcycle-observance-days/,75,47,1.5957446808510638,34.95744680851064,158,0,0
/maintenance-tips-for-every-florida-rider/,73,56,1.3035714285714286,39.017857142857146,165,0,0
/how-to-ride-safely-in-florida-top-motorcycle-safety-tips-for-spring-riding/,70,25,2.8,66.84,184,0,0
/beyond-the-helmet/,50,43,1.1627906976744187,47.41860465116279,136,0,0
/ride-to-work-day-a-reminder-to-ride-smart-in-florida/,42,28,1.5,43.714285714285715,96,0,0
/links/,39,3,13,318,116,0,0
/stay-cool-and-ride-safe/,38,25,1.52,39.32,97,0,0
/event/st-pete-bikefest-november-2025/,28,7,4,38.714285714285715,65,0,0
/motorcycle-safety-blog/,27,1,27,116,51,0,0
/event/biketoberfest-daytona/,17,16,1.0625,17.3125,50,0,0
/event/glenn-curtiss-vintage-motorcycle-car-show/,13,7,1.8571428571428572,18.428571428571427,33,0,0
/event/daytona-beach-bike-week/,7,5,1.4,13.6,18,0,0
/event/st-pete-bikefest/,7,4,1.75,22.75,19,0,0
/may-motorcycle-safety-awareness-month,5,1,5,22,13,0,0
/wp-content/uploads/2024/04/fmsp-project-overview_eng.pdf,5,5,1,0,16,0,0
/about-us/,4,4,1,3.25,20,0,0
/fmsp-motorcycle-safety-booth-daytona-2025/,4,4,1,0,12,0,0
/may-motorcycle-safety-fl-fmspawareness-month/,4,3,1.3333333333333333,58.666666666666664,10,0,0
/Resources/,3,3,1,5.333333333333333,11,0,0
/event/dania-beach-vintage-motorcycle-show/,3,3,1,11,12,0,0
/Vero,2,2,1,0,8,0,0
/blog,2,2,1,1,6,0,0
/Resources,1,1,1,125,3,0,0
/about-us,1,1,1,3,5,0,0
/biketoberfest-returns-to-daytona-beach/,1,1,1,9,2,0,0
/category/featured/,1,1,1,0,3,0,0
/drive-sober-or-game-over,1,1,1,0,3,0,0
/elementor-8/,1,1,1,2,2,0,0
/event/,1,1,1,0,3,0,0
/event/biketoberfest-2025,1,1,1,0,3,0,0
/event/biketoberfest-daytona,1,1,1,1,4,0,0
/event/emerald-coast-bike-fest/,1,1,1,11,2,0,0
/event/glenn-curtiss-vintage-motorcycle-car-show,1,1,1,2,4,0,0
/event/st-pete-bikefest,1,1,1,2,4,0,0
/event/st-pete-bikefest-november-2025,1,1,1,6,4,0,0
/event/thunder-beach-motorcycle-rally-panama-city-bike-week,1,1,1,2,5,0,0
/event/thunder-beach-motorcycle-rally-panama-city-bike-week/,1,1,1,23,5,0,0
/events/&,1,2,0.5,14,5,0,0
/events/url,1,1,1,0,1,0,0
/floirda-freedom,1,1,1,8,3,0,0
/how-to-ride-safely-in-florida-top-motorcycle-safety-tips-for-spring-riding,1,1,1,3,4,0,0
/https:/www.floridaroadjobs.com/sitemap_index.xml,1,1,1,1,2,0,0
/maintenance-tips-for-every-florida-rider,1,1,1,0,3,0,0
/may-,1,1,1,6,4,0,0
/no-access,1,1,1,0,4,0,0
/no-access/,1,1,1,4,2,0,0
/quicklinks,1,1,1,2,4,0,0
/ride-to-work-day-a-reminder-to-ride-smart-in-florida,1,1,1,1,4,0,0
/ridesmart-florida-offers-free-motorcycle-safety-courses-across-the-state,1,1,1,9,4,0,0
/sample-page-2/url,1,1,1,0,1,0,0
/sample-page/,1,1,1,3,2,0,0
/st-pete-bikefest-returns-november-20-23-2025,1,1,1,1,4,0,0
/suit-up-for-safety-what-every-florida-rider-needs-to-wear,1,1,1,5,4,0,0
/summer-ready-riding-maintenance-musts-for-floridas-motorcycle-observance-days,1,1,1,3,4,0,0
/wp-content/uploads/2024/04/Florida-Motorcycle-Safety-Program-,1,1,1,0,3,0,0
/wp-login,1,1,1,1,2,0,0
