# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: flalr.org
# Property: flalr.org
# ----------------------------------------
# 
# All Users
# Start date: 20241028
# End date: 20260112
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,4617,1421,3.2491203377902886,53.022519352568615,9998,0,0
/events/,645,275,2.3454545454545452,84.07272727272728,1778,0,0
/resources/,578,292,1.9794520547945205,85.57534246575342,1450,0,0
/about-us/,328,235,1.3957446808510638,21.57872340425532,901,0,0
/membership/chapter-map/,287,124,2.314516129032258,96.1774193548387,691,0,0
/membership/,230,147,1.564625850340136,54.095238095238095,677,0,0
/capture-the-plaque/,215,129,1.6666666666666667,67.07751937984496,660,0,0
/photo-gallery/,204,120,1.7,41.1,614,0,0
/support-alr/,174,53,3.2830188679245285,65.83018867924528,463,0,0
/membership/starting-a-chapter/,142,58,2.4482758620689653,76.17241379310344,499,0,0
/american-legion-riders-4th-annual-pow-mia-ride-ceremony/,129,113,1.1415929203539823,5.15929203539823,454,0,0
/contact-us/,127,88,1.4431818181818181,1751.8181818181818,365,0,0
/calendar-single/alrs-5th-annual-pow-mia-ride/,99,79,1.2531645569620253,9.746835443037975,338,0,0
/calendar-single/in-state-unity-ride-rally/,90,78,1.1538461538461537,6.512820512820513,325,0,0
/calendar-single/fall-conference/2025-11-21/,76,70,1.0857142857142856,8.6,260,0,0
/calendar-single/alr-legacy-ride-august-21-2025-at-1pm/,66,42,1.5714285714285714,21.19047619047619,174,0,0
/calendar-single/fall-conference/2026-11-20/,66,59,1.11864406779661,7.1525423728813555,227,0,0
/calendar-single/department-convention-2/,65,59,1.1016949152542372,7.3559322033898304,231,0,0
/calendar-single/summit/,65,52,1.25,9.115384615384615,218,0,0
/calendar-single/pow-mia-ceremony-ride/,59,56,1.0535714285714286,4.267857142857143,226,0,0
/calendar-single/biketoberfest-2025/,58,55,1.0545454545454545,5.709090909090909,209,0,0
/calendar-single/st-pete-bikefest/,56,53,1.0566037735849056,5.660377358490566,206,0,0
/venue/holiday-inn-resort-orlando-lake-buena-vista/,56,57,0.9824561403508771,1.6666666666666667,223,0,0
/chapter/54/,52,53,0.9811320754716981,2.1132075471698113,207,0,0
/calendar/list/,51,49,1.0408163265306123,2.4285714285714284,194,0,0
/chapter/200/,48,47,1.0212765957446808,1.6595744680851063,191,0,0
/calendar-single/department-convention/,47,46,1.0217391304347827,1.608695652173913,184,0,0
/calendar/month/2025-02/,47,48,0.9791666666666666,1.2708333333333333,186,0,0
/chapter/235/,47,47,1,1.851063829787234,190,0,0
/membership/chapter-of-the-year/,47,29,1.6206896551724137,39.06896551724138,128,0,0
/calendar-single/national-legacy-ride/,46,47,0.9787234042553191,1.872340425531915,182,0,0
/calendar/2025-09-20/,45,45,1,1.0222222222222221,178,0,0
/venue/caribe-royale-orlando/,45,46,0.9782608695652174,1.4782608695652173,178,0,0
/chapter/325/,44,45,0.9777777777777777,2.488888888888889,184,0,0
/venue/adamec-harley-davidson/,44,45,0.9777777777777777,1.8444444444444446,176,0,0
/calendar-single/chapter-10-alr-riders-dinner/,43,43,1,1.372093023255814,171,0,0
/category/uncategorized/,43,41,1.048780487804878,1.1951219512195121,169,0,0
/venue/daytona-international-speedway/,42,42,1,1.5714285714285714,171,0,0
/calendar-single/round-robin-pvr-spi/,41,42,0.9761904761904762,1.8333333333333333,164,0,0
/chapter/163/,41,41,1,1.7560975609756098,171,0,0
/venue/berts-barracuda-harley-davidson-clearwater-2/,40,42,0.9523809523809523,1.2619047619047619,163,0,0
/calendar-single/chapter-10-taco-tuesday/,39,39,1,1.0256410256410255,153,0,0
/chapter/110/,36,35,1.0285714285714285,2.257142857142857,142,0,0
/calendar/,34,30,1.1333333333333333,12.466666666666667,117,0,0
/chapter/37/,31,32,0.96875,2.09375,127,0,0
/calendar/2025-02-12/,28,28,1,0.8571428571428571,115,0,0
/series/fall-conference/,27,27,1,2.2222222222222223,104,0,0
/chapter/194/,20,20,1,1.8,88,0,0
/venue/hilton-orlando-lake-buena-vista-disney-springs-area/,20,19,1.0526315789473684,5.052631578947368,78,0,0
/calendar-single/merry-go-round-cy/,17,17,1,0.35294117647058826,65,0,0
/chapter/359/,14,5,2.8,33,55,0,0
/category/contact-us-page/,9,9,1,0.5555555555555556,33,0,0
/calendar-single/alr-safety-summit-first-responder-educational-training/,8,5,1.6,16.6,20,0,0
/calendar-single/glenn-curtiss-vintage-motorcycle-car-show/,8,7,1.1428571428571428,27.428571428571427,26,0,0
/chapter/103/,8,8,1,0,29,0,0
/chapter/221/,8,8,1,6.875,32,0,0
/chapter/258/,8,8,1,0.75,32,0,0
/chapter/394/,8,8,1,26,34,0,0
/calendar/month/2025-11/,7,7,1,1.5714285714285714,23,0,0
/chapter/39/,7,7,1,1.8571428571428572,27,0,0
/chapter/401/,7,7,1,9.571428571428571,30,0,0
/chapter/1/,6,6,1,1.6666666666666667,24,0,0
/chapter/277/,6,6,1,2.1666666666666665,23,0,0
/chapter/303/,6,5,1.2,1.2,21,0,0
/chapter/340/,6,4,1.5,20,22,0,0
/chapter/383/,6,6,1,1.6666666666666667,24,0,0
/chapter/55/,6,6,1,3.3333333333333335,24,0,0
/chapter/80/,6,6,1,0,24,0,0
/dev/,6,5,1.2,3.4,26,0,0
/chapter/107/,5,5,1,1.8,20,0,0
/chapter/252/,5,5,1,0,19,0,0
/chapter/270/,5,5,1,1.2,18,0,0
/chapter/3/,5,5,1,6.8,22,0,0
/chapter/347/,5,5,1,3.4,18,0,0
/chapter/348/,5,5,1,1.6,19,0,0
/chapter/375/,5,5,1,0.2,19,0,0
/z0f76a1d14fd21a8fb5fd0d03e0fdc3d3cedae52f,5,5,1,1.4,20,0,0
/calendar/2025-12-01/,4,4,1,1,13,0,0
/calendar/list/page/2/,4,4,1,28.25,13,0,0
/calendar/month/,4,3,1.3333333333333333,12.666666666666666,9,0,0
/chapter/10/,4,4,1,0,16,0,0
/chapter/136/,4,4,1,1,16,0,0
/chapter/137/,4,4,1,0.25,16,0,0
/chapter/173/,4,4,1,2.75,16,0,0
/chapter/189/,4,4,1,1.25,16,0,0
/chapter/274/,4,4,1,2.5,16,0,0
/chapter/316/,4,4,1,6.25,17,0,0
/chapter/35/,4,3,1.3333333333333333,7.666666666666667,15,0,0
/chapter/382/,4,4,1,1.5,15,0,0
/chapter/72/,4,4,1,4.25,15,0,0
/chapter/75/,4,4,1,1.75,16,0,0
/chapter/81/,4,4,1,1.5,16,0,0
/chapter/99/,4,4,1,1.75,16,0,0
/galleries/2022-alr-unity-ride-rally/,4,4,1,0.25,17,0,0
/venue/53-curtiss-parkway/,4,4,1,1.75,16,0,0
/venue/harley-davidson-of-wesley-chapel/,4,4,1,6.75,18,0,0
/calendar-single/chapter-136-st-james-city-monthly-meeting/,3,3,1,0.3333333333333333,10,0,0
/calendar-single/daytona-beach-bike-week-2026/,3,3,1,20,10,0,0
/calendar/2025-11-29/,3,3,1,0,10,0,0
/calendar/month/2025-10/,3,3,1,0.6666666666666666,13,0,0
/calendar/today/,3,2,1.5,7.5,6,0,0
/chapter/137-2/,3,3,1,0,11,0,0
/chapter/138/,3,2,1.5,18.5,13,0,0
/chapter/148/,3,3,1,9.333333333333334,13,0,0
/chapter/193/,3,3,1,0,12,0,0
/chapter/268/,3,3,1,0,12,0,0
/chapter/321,3,3,1,0.3333333333333333,10,0,0
/chapter/356/,3,3,1,0,10,0,0
/chapter/382,3,3,1,0,10,0,0
/chapter/392/,3,3,1,4.666666666666667,12,0,0
/chapter/72,3,3,1,0.6666666666666666,11,0,0
/chapter/8/,3,3,1,2,12,0,0
/contact-us,3,3,1,0.6666666666666666,10,0,0
/galleries/2015-alr-legacy-ride,3,3,1,0,10,0,0
/galleries/2017-alr-legacy-ride,3,3,1,0.6666666666666666,11,0,0
/galleries/2019-alr-legacy-ride/,3,3,1,0,12,0,0
/galleries/2023-alr-summit/,3,3,1,0,12,0,0
/galleries/2024-alr-summit/,3,3,1,0.3333333333333333,13,0,0
/about-us,2,1,2,9,7,0,0
"/calendar-single/chapter-10-taco-tuesday/data:,",2,2,1,1,9,0,0
/calendar-single/chapter-401-wing-wednesday/,2,2,1,1,8,0,0
/calendar-single/dania-beach-vintage-motorcycle-show/,2,2,1,3.5,6,0,0
/calendar-single/fall-conference/2024-11-22/,2,2,1,21.5,6,0,0
/calendar/2025-04-03/,2,2,1,0.5,7,0,0
/calendar/2025-04-12/,2,2,1,6.5,8,0,0
/calendar/2025-04-14/,2,2,1,2,9,0,0
/calendar/2025-12-05/,2,2,1,2,7,0,0
/calendar/2025-12-30/,2,2,1,1.5,8,0,0
/calendar/2026-01-01/,2,2,1,1,8,0,0
/calendar/month/2025-12/,2,2,1,0,7,0,0
/chapter/101/,2,2,1,0.5,8,0,0
/chapter/120/,2,2,1,0.5,7,0,0
/chapter/135/,2,2,1,2,8,0,0
/chapter/159/,2,2,1,0,8,0,0
/chapter/163/feed/,2,2,1,0,8,0,0
/chapter/173,2,2,1,1,8,0,0
/chapter/200/feed/,2,2,1,0.5,8,0,0
/chapter/22/,2,2,1,16,9,0,0
/chapter/224/,2,2,1,0,7,0,0
/chapter/238/,2,2,1,0,8,0,0
/chapter/254/,2,2,1,0,7,0,0
/chapter/266/,2,2,1,2,8,0,0
/chapter/271/,2,2,1,3.5,8,0,0
/chapter/285/,2,2,1,0,8,0,0
/chapter/286/,2,2,1,0,8,0,0
/chapter/323/,2,2,1,0,7,0,0
/chapter/57,2,2,1,0,6,0,0
/chapter/62/,2,2,1,0,7,0,0
/chapter/83/,2,2,1,9,8,0,0
/galleries/2015-alr-legacy-ride/,2,2,1,0,8,0,0
/galleries/2022-alr-unity-ride-rally,2,2,1,2.5,8,0,0
/galleries/alr-celebration-of-life-for-tim-morris/,2,2,1,0,8,0,0
/lander,2,2,1,0,8,0,0
/american-legion-riders-4th-annual-pow-mia-ride-ceremony,1,1,1,0,3,0,0
/author/american-legion-of-riders/,1,1,1,1,2,0,0
/calendar,1,1,1,0,4,0,0
/calendar-single/alr-legacy-ride-august-21-2025-at-1pm,1,1,1,0,3,0,0
/calendar-single/alrs-5th-annual-pow-mia-ride,1,1,1,0,3,0,0
/calendar-single/chapter-10-alr-riders-dinner,1,1,1,5,4,0,0
/calendar-single/chapter-10-taco-tuesday,1,1,1,0,4,0,0
/calendar-single/chapter-117-corn-hole-tournament,1,1,1,0,4,0,0
/calendar-single/chapter-117-corn-hole-tournament/,1,1,1,0,3,0,0
/calendar-single/chapter-136-st-james-city-monthly-meeting,1,1,1,2,5,0,0
/calendar-single/chapter-136-st-james-city-monthly-meeting-2/,1,1,1,0,4,0,0
/calendar-single/chapter-401-wing-wednesday,1,1,1,1,4,0,0
/calendar-single/chapter-8-alr-meeting,1,1,1,0,3,0,0
/calendar-single/department-convention,1,1,1,2,4,0,0
/calendar-single/department-convention-2,1,1,1,4,4,0,0
/calendar-single/glenn-curtiss-vintage-motorcycle-car-show,1,1,1,0,3,0,0
/calendar-single/in-state-unity-ride-rally,1,1,1,1,4,0,0
/calendar-single/merry-go-round-cy,1,1,1,0,4,0,0
/calendar-single/pow-mia-ceremony-ride,1,1,1,2,4,0,0
/calendar-single/round-robin-pvr-spi,1,1,1,1,4,0,0
/calendar-single/spring-raffle,1,1,1,0,4,0,0
/calendar-single/spring-raffle/,1,1,1,4,5,0,0
/calendar-single/st-pete-bikefest,1,1,1,6,4,0,0
/calendar-single/summit,1,1,1,3,4,0,0
/calendar/2024-12-10/,1,1,1,1,4,0,0
/calendar/2025-02-20/,1,1,1,0,3,0,0
/calendar/2025-02-21/,1,1,1,0,3,0,0
/calendar/2025-02-22/,1,1,1,0,4,0,0
/calendar/2025-02-23/,1,1,1,0,4,0,0
/calendar/2025-02-24/,1,1,1,5,4,0,0
/calendar/2025-02-25/,1,1,1,0,3,0,0
/calendar/2025-02-26/,1,1,1,3,4,0,0
/calendar/2025-02-27/,1,1,1,0,3,0,0
/calendar/2025-03-03/,1,1,1,2,4,0,0
/calendar/2025-03-04/,1,1,1,2,4,0,0
/calendar/2025-03-05/,1,1,1,11,4,0,0
/calendar/2025-03-06/,1,1,1,0,4,0,0
/calendar/2025-03-07/,1,1,1,4,4,0,0
/calendar/2025-03-08/,1,1,1,0,3,0,0
/calendar/2025-03-27/,1,1,1,0,4,0,0
/calendar/2025-03-29/,1,1,1,0,3,0,0
/calendar/2025-03-30/,1,1,1,4,4,0,0
/calendar/2025-03-31/,1,1,1,0,4,0,0
/calendar/2025-04-01/,1,1,1,3,4,0,0
/calendar/2025-04-05/,1,1,1,1,4,0,0
/calendar/2025-04-06/,1,1,1,0,4,0,0
/calendar/2025-04-07/,1,1,1,2,4,0,0
/calendar/2025-04-09/,1,1,1,2,4,0,0
/calendar/2025-04-13/,1,1,1,8,4,0,0
/calendar/2025-04-15/,1,1,1,0,3,0,0
/calendar/2025-04-16/,1,1,1,0,3,0,0
/calendar/2025-08-21/,1,1,1,7,4,0,0
/calendar/2025-09-01/,1,1,1,1,4,0,0
/calendar/2025-09-03/,1,1,1,4,4,0,0
/calendar/2025-10-17/,1,1,1,1,4,0,0
/calendar/2025-10-18/,1,1,1,11,4,0,0
/calendar/2025-10-20/,1,1,1,1,4,0,0
/calendar/2025-10-21/,1,1,1,0,4,0,0
/calendar/2025-10-22/,1,1,1,1,4,0,0
/calendar/2025-10-23/,1,1,1,0,4,0,0
/calendar/2025-10-24/,1,1,1,1,4,0,0
/calendar/2025-10-25/,1,1,1,3,4,0,0
/calendar/2025-10-26/,1,1,1,0,4,0,0
/calendar/2025-10-27/,1,1,1,1,4,0,0
/calendar/2025-10-28/,1,1,1,0,3,0,0
/calendar/2025-10-29/,1,1,1,0,4,0,0
/calendar/2025-10-30/,1,1,1,0,3,0,0
/calendar/2025-11-01/,1,1,1,0,4,0,0
/calendar/2025-11-03/,1,1,1,0,4,0,0
/calendar/2025-11-04/,1,1,1,0,4,0,0
/calendar/2025-11-06/,1,1,1,1,4,0,0
/calendar/2025-11-07/,1,1,1,1,4,0,0
/calendar/2025-11-21/,1,1,1,0,4,0,0
/calendar/2025-11-22/,1,1,1,1,4,0,0
/calendar/2025-11-23/,1,1,1,0,4,0,0
/calendar/2025-11-24/,1,1,1,0,4,0,0
/calendar/2025-11-30/,1,1,1,1,4,0,0
/calendar/2025-12-02/,1,1,1,15,5,0,0
/calendar/2025-12-03/,1,1,1,0,4,0,0
/calendar/2025-12-04/,1,1,1,3,4,0,0
/calendar/2025-12-29/,1,1,1,0,3,0,0
/calendar/2025-12-31/,1,1,1,6,4,0,0
/calendar/2026-01-02/,1,1,1,0,3,0,0
/calendar/2026-01-03/,1,1,1,0,3,0,0
/calendar/2026-11-01/,1,1,1,0,3,0,0
/calendar/2026-11-20/,1,1,1,0,3,0,0
/calendar/month/2024-07/,1,1,1,0,3,0,0
/calendar/month/2026-01/,1,1,1,0,4,0,0
/calendar/month/2026-11/,1,1,1,0,4,0,0
/capture-the-plaque,1,1,1,5,5,0,0
/chapter/1,1,1,1,7,4,0,0
/chapter/10,1,1,1,3,4,0,0
/chapter/101,1,1,1,1,5,0,0
/chapter/103,1,1,1,0,3,0,0
/chapter/107,1,1,1,0,3,0,0
/chapter/110,1,1,1,0,3,0,0
/chapter/111,1,1,1,3,5,0,0
/chapter/117,1,1,1,1,4,0,0
/chapter/125,1,1,1,1,5,0,0
/chapter/129,1,1,1,2,4,0,0
/chapter/129/,1,1,1,0,4,0,0
/chapter/130,1,1,1,1,5,0,0
/chapter/130/,1,1,1,0,4,0,0
/chapter/135,1,1,1,4,4,0,0
/chapter/136,1,1,1,0,3,0,0
/chapter/137,1,1,1,2,4,0,0
/chapter/137-2,1,1,1,1,4,0,0
/chapter/138,1,1,1,5,4,0,0
/chapter/152,1,1,1,0,4,0,0
/chapter/152/,1,1,1,0,4,0,0
/chapter/159,1,1,1,0,3,0,0
/chapter/17,1,1,1,0,3,0,0
/chapter/17/,1,1,1,4,4,0,0
/chapter/183,1,1,1,1,5,0,0
/chapter/189,1,1,1,0,3,0,0
/chapter/197,1,1,1,1,4,0,0
/chapter/197/,1,1,1,6,4,0,0
/chapter/200,1,1,1,3,4,0,0
/chapter/202,1,1,1,0,3,0,0
/chapter/219,1,1,1,0,4,0,0
/chapter/219/,1,1,1,15,3,0,0
/chapter/22,1,1,1,4,4,0,0
/chapter/221,1,1,1,1,5,0,0
/chapter/24,1,1,1,4,5,0,0
/chapter/240,1,1,1,6,4,0,0
/chapter/240/,1,1,1,0,4,0,0
/chapter/242,1,1,1,2,4,0,0
/chapter/242/,1,1,1,0,4,0,0
/chapter/250,1,1,1,2,4,0,0
/chapter/250/,1,1,1,7,4,0,0
/chapter/252,1,1,1,7,4,0,0
/chapter/254,1,1,1,1,4,0,0
/chapter/266,1,1,1,2,4,0,0
/chapter/268,1,1,1,0,3,0,0
/chapter/270,1,1,1,0,3,0,0
/chapter/271,1,1,1,0,3,0,0
/chapter/273,1,1,1,0,4,0,0
/chapter/273/,1,1,1,0,4,0,0
/chapter/277,1,1,1,7,4,0,0
/chapter/283,1,1,1,1,5,0,0
/chapter/285,1,1,1,4,4,0,0
/chapter/286,1,1,1,0,3,0,0
/chapter/3,1,1,1,0,3,0,0
/chapter/303,1,1,1,3,4,0,0
/chapter/316,1,1,1,1,4,0,0
/chapter/318,1,1,1,4,5,0,0
/chapter/323,1,1,1,5,5,0,0
/chapter/325,1,1,1,7,4,0,0
/chapter/336/,1,1,1,6,4,0,0
/chapter/340,1,1,1,0,3,0,0
/chapter/347,1,1,1,0,3,0,0
/chapter/348,1,1,1,0,3,0,0
/chapter/35,1,1,1,2,5,0,0
/chapter/356,1,1,1,1,5,0,0
/chapter/37,1,1,1,5,4,0,0
/chapter/375,1,1,1,5,5,0,0
/chapter/383,1,1,1,0,3,0,0
/chapter/39,1,1,1,3,4,0,0
/chapter/392,1,1,1,0,3,0,0
/chapter/394,1,1,1,0,3,0,0
/chapter/55,1,1,1,0,3,0,0
/chapter/62,1,1,1,0,3,0,0
/chapter/63/,1,1,1,0,4,0,0
/chapter/69,1,1,1,0,4,0,0
/chapter/8,1,1,1,0,3,0,0
/chapter/83,1,1,1,0,3,0,0
/chapter/9/,1,1,1,0,3,0,0
/chapter/99,1,1,1,1,4,0,0
/events,1,1,1,8,4,0,0
/galleries/2015-orlando-harley-davidson-veteran-appreciation,1,1,1,4,5,0,0
/galleries/2017-alr-legacy-ride/,1,1,1,0,4,0,0
/galleries/2019-alr-legacy-ride,1,1,1,1,5,0,0
/galleries/2021-alr-summit,1,1,1,0,4,0,0
/galleries/2023-alr-summit,1,1,1,2,5,0,0
/galleries/2024-alr-summit,1,1,1,0,3,0,0
/galleries/alr-2021-pow-mia-ride-ceremony,1,1,1,0,4,0,0
/galleries/alr-2021-pow-mia-ride-ceremony/,1,1,1,0,4,0,0
/galleries/alr-2022-pow-mia-ride-ceremony,1,1,1,2,5,0,0
/galleries/alr-2022-pow-mia-ride-ceremony/,1,1,1,0,4,0,0
/galleries/alr-2023-pow-mia-ride-ceremony,1,1,1,4,5,0,0
